,Language,Clustering,ε_Hoeffding,Fraction_nodes_deg≥2,ε_Hoeffding * Fraction_nodes_deg≥2
0,english,0.08926606946171488,0.04446224751976756,0.7819935691318328,0.03476919162960602
1,arabic,0.07493645999903426,0.04390118722026745,0.7719958202716823,0.03389153303901107
2,czech,0.0526389143627996,0.041643101702252404,0.7431365174877773,0.030946509576401184
3,german,0.13478322942453727,0.04138322976420251,0.821355617455896,0.033990348235295766
4,spanish,0.16952593018876003,0.04512986423203349,0.8242049469964664,0.037196257357320885
5,finnish,0.05496110713737972,0.04315022574315,0.6860488592772057,0.029603163148641976
6,french,0.17872187475501045,0.044620348785641965,0.8136873920552677,0.036307015235985445
7,galician,0.18387536383661682,0.04539125569615808,0.8246201966041108,0.03743054619627334
8,hindi,0.1834773723402581,0.04567789705619347,0.7597285067873303,0.03470280052368725
9,indonesian,0.08945362591219169,0.0497503122426992,0.7420826623725174,0.03691884416292627
10,icelandic,0.08357008808663156,0.04366457047490656,0.7703121769691957,0.03363535033895014
11,italian,0.13797591702490322,0.04376875498121814,0.8090984628167843,0.03541323237470807
12,japanese,0.14048955065724067,0.04335642493589079,0.7770077456176111,0.03368827799747568
13,korean,0.029303180956083363,0.038046388086269846,0.7325380630984147,0.027870427436606716
14,polish,0.053536367185058685,0.04280591363188838,0.7534273792966422,0.03225114732607207
15,portuguese,0.15558989560611966,0.04248633652604509,0.8285378743394011,0.035201538953757855
16,russian,0.056022879630288694,0.042296350983906404,0.7390882638215325,0.03126073661468155
17,swedish,0.07039617844670788,0.04292119583835398,0.7776667998401918,0.0333783890129269
18,thai,0.10930250403118953,0.04776011517319265,0.734108335394509,0.03506109864804249
19,turkish,0.05797239417671339,0.04369167729829852,0.7294555992548126,0.03187113864607824
20,chinese,0.07356902240758849,0.04115081278887304,0.7431142122658833,0.030579753829704223
